,temp
1686,18.2
1687,16.0
1688,14.9
1689,14.6
1690,17.4
1691,15.0
1692,16.0
1693,15.3
1694,16.3
1695,12.8
1696,14.2
1697,15.9
1698,17.3
1699,17.0
1700,17.6
1701,14.7
1702,16.4
1703,17.1
1704,21.0
1705,22.6
1706,20.0
1707,20.1
1708,20.4
1709,16.9
1710,16.8
1711,18.3
1712,16.9
1713,17.4
1714,18.1
1715,13.4
1716,14.0
1717,13.4
1718,15.0
1719,16.2
1720,13.0
1721,12.2
1722,12.5
1723,14.3
1724,9.6
1725,8.9
1726,9.8
1727,12.4
1728,15.6
1729,11.1
1730,7.8
1731,6.8
1732,7.5
1733,6.8
1734,7.6
1735,8.0
1736,8.8
1737,10.0
1738,9.8
1739,10.0
1740,7.8
1741,7.7
1742,8.2
1743,8.2
1744,8.2
1745,8.9
1746,11.9
1747,12.0
1748,12.0
1749,14.8
1750,15.2
1751,17.2
1752,15.7
1753,12.6
1754,12.2
1755,12.8
1756,10.3
1757,15.4
1758,9.0
1759,5.7
1760,5.7
1761,11.0
1762,11.2
1763,11.8
1764,8.8
1765,8.3
1766,7.6
1767,6.8
1768,5.4
1769,4.3
1770,6.4
1771,9.3
1772,5.5
1773,6.6
1774,4.3
1775,4.5
1776,11.1
1777,4.9
1778,3.8
1779,3.2
1780,1.0
1781,1.0
1782,2.2
1783,-0.2
1784,-0.4
1785,-2.4
1786,-2.6
1787,-5.0
1788,-2.5
1789,0.1
1790,4.0
1791,3.7
1792,3.8
1793,4.8
1794,6.5
1795,6.6
1796,5.2
1797,10.0
1798,8.1
1799,5.4
1800,2.2
1801,0.5
1802,-0.8
1803,1.9
1804,4.2
1805,3.2
1806,3.0
1807,1.5
1808,0.5
1809,5.1
1810,3.7
1811,0.9
1812,1.2
1813,3.6
1814,5.7
1815,2.7
1816,3.2
1817,0.7
1818,1.1
1819,0.9
1820,4.3
1821,6.8
1822,8.8
1823,4.3
1824,0.4
1825,0.2
1826,-2.3
1827,-2.5
1828,-3.1
1829,-4.6
1830,-8.0
1831,-6.7
1832,-8.6
1833,-5.4
1834,-4.6
1835,-0.6
1836,2.1
1837,-1.2
1838,-0.5
1839,-2.5
1840,-2.4
1841,3.6
1842,-1.1
1843,-2.2
1844,0.8
1845,-1.4
1846,-5.0
1847,-4.6
1848,-6.2
1849,-4.9
1850,-1.1
1851,-0.5
1852,0.5
1853,2.6
1854,2.7
1855,3.0
1856,2.4
1857,0.9
1858,-2.2
1859,2.2
1860,3.8
1861,1.8
1862,1.2
1863,0.7
1864,4.0
1865,1.5
1866,-0.2
1867,-1.4
1868,-1.4
1869,-3.2
1870,-4.2
1871,-8.8
1872,-5.9
1873,-2.0
1874,-2.9
1875,-3.1
1876,-4.6
1877,-5.6
1878,-9.4
1879,-7.5
1880,-4.8
1881,-6.3
1882,-6.7
1883,-5.1
1884,-6.1
1885,-6.1
1886,-4.8
1887,-3.4
1888,0.3
1889,0.4
1890,0.0
1891,-3.2
1892,-2.0
1893,-1.4
1894,-1.5
1895,-3.2
1896,-2.8
1897,-1.7
1898,1.3
1899,2.2
1900,1.8
1901,-1.1
1902,-4.3
1903,-5.4
1904,-2.7
1905,-1.0
1906,2.9
1907,6.6
1908,9.6
1909,9.4
1910,12.2
1911,5.5
1912,1.4
1913,1.3
1914,-0.9
1915,3.0
1916,3.5
1917,4.0
1918,7.4
1919,5.4
1920,7.6
1921,8.6
1922,9.9
1923,6.4
